User Stories,Tasks,Dependency,Story Points,1,2,3,4,5,,description
1,33,,2,sean:2,,,,,,create account GUI (add more textfields)
1,34,,1,,sean:1,,,,,link for create account GUI
2,35,,1,andrew:1,,,,,,linked upload template
3,36,,1,andrew:1,,,,,,linked download template
4,24,,8,anthony:4,,,,,,done excel file reading
4,37,,2,,andrew:2,,,,,linked select template for uploading data
5,38,T24,4,eric:2,eric:2,,,,,utsc view data gui
8,39,,1,,,andrew:1,,,,linked save query
9,40,,2,,,andrew:2,,,,linked export csv
16,41,,2,sherry:2,,,,,,refactor the code for create account
16,42,,2,,anthony:2,,,,,refactor email code
16,43,,2,,sherry:2,,,,,add email feature when account is created
16,44,,2,,sean:2,,,,,add generate random password
17,45,,1,,,sherry:1,,,,link change password function
17,46,T44,2,,,sherry:2,,,,send email after password is changed
