User Story,Task,Dependency,Story Points,1,2,3,4,5,,,
4,47,,3,anthony:2,anthony:1,,,,,5,fix the read excel function?
4,48,,4,sherry:2,sherry:2,,,,,8,insert template data to database
5,49,T48,3,,,sean:3,,,,4,function for utsc view data (without identifier)
5,50,,1,sean:1,,,,,,,link for utsc view data (and db function)
8,51,,2,andrew:2,,,,,,8,add delete saved query function (teqlip)
8,52,,2,andrew:2,,,,,,,add notification & go back to main menu after successfully performing function
15,53,,2,,,sherry:2,,,,,send email after account is deleted
15,54,,2,,andrew:2,,,,,,add teqlip delete account function
15,55,,2,,,anthony:2,,,,,refactor code for login
17,56,,2,,,andrew:2,,,,,add changed password function
20,57,T56,2,,,,sherry:2,,,,send email after forget password
20,58,,3,eric:3,,,,,,3,forgot password gui
